entity_id,position,commons_title
colony-phasis-city,2,File:Mouth of the Phasis at Poti - Ainsworth William Francis - 1870.jpg
colony-sinope,1,File:Coinage of Abrocomas Sinope Paphlagonia.jpg
colony-sinope,2,File:Sinop Hellenistic tower of north walls 9560.jpg
colony-theodosia-crimea,1,File:THEODOSIA 01.jpg
colony-theodosia-crimea,2,"File:Карло Боссоли. Феодосия.jpg"
kingdom-knossos-mycenaean,1,File:Knossos - Palace of the Minoans.jpg
kingdom-knossos-mycenaean,2,File:Tablet with Linear B Script from the Palace of Knossos - 1375 BC.jpg
kingdom-mycenae-palatial,1,File:Lion Gate - Mycenae - 2.jpg
kingdom-mycenae-palatial,2,"File:Mycenaean tablet inscriptio linear B, NAMA 7668 080860.jpg"
kingdom-paphos-cyprus,1,"File:The remains of the Bronze Age temenos wall, Palaepaphos, the famous Sanctuary of Aphrodite, a large centre of worship established in the 12th century BC, Kouklia, Cyprus.jpg"
kingdom-paphos-cyprus,2,"File:Limestone sarcophagus painted with Homeric scenes, unearthed in 2006 in a tomb near the village of Kouklia probably belonging to an ancient warrior, 1st half of 5th century BC, Palaepaphos Museum, Cyprus (22271185499).jpg"
sanctuary-argive-heraion,1,"File:Heraion of Argos, Greece (14004357385).jpg"
sanctuary-argive-heraion,2,"File:Heraion of Argos, Reconstruction on a 1902 painting.jpg"
sanctuary-athens-acropolis-sacred-center,1,File:Attica 06-13 Athens 50 View from Philopappos - Acropolis Hill.jpg
sanctuary-athens-acropolis-sacred-center,2,"File:The Parthenon on the Acropolis in Athens, Greece.jpg"
sanctuary-chersonesos-parthenos-sanctuary,1,File:Изображение Девы в Херсонесе.jpg
sanctuary-chersonesos-parthenos-sanctuary,2,File:Artemis from Chersonesus (3).jpg
sanctuary-crete-idaion-antron,1,File:Idaean Cave panorama.jpg
sanctuary-crete-idaion-antron,2,File:Τύμπανο Ιδαίου Άνδρου 9098 rt.jpg
sanctuary-delos-apollo-sanctuary,1,File:The Temple of Apollo (II) (5183086050).jpg
sanctuary-delos-apollo-sanctuary,2,"File:Portrait head of a ruler probably depicting Alexander the Great or Mithridates, 125-100 BC, found in the Sanctuary of Apollo on Delos, National Archaeological Museum of Athens (14095739711).jpg"
sanctuary-epidauros-asklepios-sanctuary,1,File:The Tholos at the Sanctuary of Asclepius in Epidaurus on 23 May 2019.jpg
sanctuary-epidauros-asklepios-sanctuary,2,"File:Inscription, accouting texts, temple of Asklepios, AM of Epidauros, 202595.jpg"
sanctuary-foce-del-sele-heraion,1,File:ItaliaPaestumHeraionFoceSeleResti.jpg
sanctuary-foce-del-sele-heraion,2,File:Paestum Museum (6120216419).jpg
sanctuary-nemea-zeus-sanctuary,1,"File:The Temple of Nemean Zeus on October 31, 2019.jpg"
sanctuary-nemea-zeus-sanctuary,2,"File:Foundations for sanctuary groups and Temple of Nemean Zeus, 201751.jpg"
sanctuary-olbia-apollo-delphinios-sanctuary,1,"File:Процес фотофіксації загального вигляду розкопу культового спорудження ( VI – V ст. до н. е.). Ольвія, 2019.jpg"
sanctuary-olbia-apollo-delphinios-sanctuary,2,File:Olbia - 400-380 BC - bronze coin - gorgoneion - eagle with dolphin - Berlin MK BM 18202520.jpg
sanctuary-panionion-poseidon-sanctuary,1,File:Panionium theatre.jpg
sanctuary-panionion-poseidon-sanctuary,2,File:Panionion 2.jpg
sanctuary-sounion-poseidon-sanctuary,1,File:Temple of Poseidon at sunset 1.jpg
sanctuary-sounion-poseidon-sanctuary,2,File:Temple of Poseidon - Sounion.jpg
city-alexandria-egypt,1,File:Alexandria - Roman Amphitheater - view of ruins around amphitheater.JPG
city-alexandria-egypt,2,File:Kom el Dikka (I).jpg
city-epidaurus-city,1,File:Μικρό Θέατρο Αρχαίας πόλεως Επιδαύρου.jpg
city-epidaurus-city,2,"File:The Little Theatre of Palaia Epidavros (Ancient Epidaurus) on May 23, 2019.jpg"
city-kos-city,1,File:Western archeological site Kos town.jpg
city-kos-city,2,"File:Kos città, antica agorà 01.JPG"
city-larissa-thessaly,1,File:Ancient-theater.jpg
city-larissa-thessaly,2,File:Ancient Theatre of Larissa in a sunny day.jpg
city-mytilene,1,File:ΑΡΧΑΙΟ ΘΕΑΤΡΟ ΜΥΤΙΛΗΝΗΣ.jpg
city-mytilene,2,File:Overzicht theater Mytilini.jpg
city-pella,1,File:20160518 306 pella.jpg
city-pella,2,"File:The Agora, Ancient Pella (6913969280).jpg"
city-rhodes-city,1,"File:Temple of Apollo, Rhodes 01.jpg"
city-rhodes-city,2,File:Stadium Rhodes.jpg
city-samos-city,1,File:Pythagoreio theatre 2.jpg
city-samos-city,2,File:Samos-Pythagoreio-1625-Fortification-walls.jpg
colony-corcyra,1,File:Gorgon at the Archaeological Museum in Corfu.jpg
colony-corcyra,2,"File:Ruins in park of Mon Repos, Corfu.jpg"
colony-naucratis,1,File:Kouros of Naucratis.jpg
colony-naucratis,2,"File:Limestone statuette, god or hero holding lion, 550 BC, Naucratis, BM Sculpture B448, 143023.jpg"
