url,checked_on,http_status,url_status,final_url,title,error
https://pleiades.stoa.org/places/452488,2026-08-15,200,ok,https://pleiades.stoa.org/places/452488,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462086,2026-08-15,200,ok,https://pleiades.stoa.org/places/462086,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462214,2026-08-15,200,ok,https://pleiades.stoa.org/places/462214,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462244,2026-08-15,200,ok,https://pleiades.stoa.org/places/462244,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462270,2026-08-15,200,ok,https://pleiades.stoa.org/places/462270,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462279,2026-08-15,200,ok,https://pleiades.stoa.org/places/462279,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462307,2026-08-15,200,ok,https://pleiades.stoa.org/places/462307,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462386,2026-08-15,200,ok,https://pleiades.stoa.org/places/462386,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462489,2026-08-15,200,ok,https://pleiades.stoa.org/places/462489,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462503,2026-08-15,200,ok,https://pleiades.stoa.org/places/462503,Making sure you're not a bot!,
https://pleiades.stoa.org/places/462538,2026-08-15,200,ok,https://pleiades.stoa.org/places/462538,Making sure you're not a bot!,
https://pleiades.stoa.org/places/464482220,2026-08-15,200,ok,https://pleiades.stoa.org/places/464482220,Making sure you're not a bot!,
https://pleiades.stoa.org/places/481728,2026-08-15,200,ok,https://pleiades.stoa.org/places/481728,Making sure you're not a bot!,
https://pleiades.stoa.org/places/481818,2026-08-15,200,ok,https://pleiades.stoa.org/places/481818,Making sure you're not a bot!,
https://pleiades.stoa.org/places/491512,2026-08-15,200,ok,https://pleiades.stoa.org/places/491512,Making sure you're not a bot!,
https://pleiades.stoa.org/places/491572,2026-08-15,500,unavailable,https://pleiades.stoa.org/places/491572,,HTTP 500
https://pleiades.stoa.org/places/491678,2026-08-15,200,ok,https://pleiades.stoa.org/places/491678,Making sure you're not a bot!,
https://pleiades.stoa.org/places/491687,2026-08-15,200,ok,https://pleiades.stoa.org/places/491687,Making sure you're not a bot!,
https://pleiades.stoa.org/places/491703,2026-08-15,200,ok,https://pleiades.stoa.org/places/491703,Making sure you're not a bot!,
https://pleiades.stoa.org/places/491741,2026-08-15,200,ok,https://pleiades.stoa.org/places/491741,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501325,2026-08-15,200,ok,https://pleiades.stoa.org/places/501325,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501347,2026-08-15,200,ok,https://pleiades.stoa.org/places/501347,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501458,2026-08-15,200,ok,https://pleiades.stoa.org/places/501458,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501482,2026-08-15,200,ok,https://pleiades.stoa.org/places/501482,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501511,2026-08-15,200,ok,https://pleiades.stoa.org/places/501511,Making sure you're not a bot!,
https://pleiades.stoa.org/places/501570,2026-08-15,200,ok,https://pleiades.stoa.org/places/501570,Making sure you're not a bot!,
https://pleiades.stoa.org/places/502577471,2026-08-15,200,ok,https://pleiades.stoa.org/places/502577471,Making sure you're not a bot!,
https://pleiades.stoa.org/places/511218,2026-08-15,200,ok,https://pleiades.stoa.org/places/511218,Making sure you're not a bot!,
https://pleiades.stoa.org/places/513711610,2026-08-15,200,ok,https://pleiades.stoa.org/places/513711610,Making sure you're not a bot!,
https://pleiades.stoa.org/places/520985,2026-08-15,200,ok,https://pleiades.stoa.org/places/520985,Making sure you're not a bot!,
https://pleiades.stoa.org/places/520988,2026-08-15,200,ok,https://pleiades.stoa.org/places/520988,Making sure you're not a bot!,
https://pleiades.stoa.org/places/530794,2026-08-15,200,ok,https://pleiades.stoa.org/places/530794,Making sure you're not a bot!,
https://pleiades.stoa.org/places/530834,2026-08-15,200,ok,https://pleiades.stoa.org/places/530834,Making sure you're not a bot!,
https://pleiades.stoa.org/places/530843,2026-08-15,200,ok,https://pleiades.stoa.org/places/530843,Making sure you're not a bot!,
https://pleiades.stoa.org/places/540628,2026-08-15,200,ok,https://pleiades.stoa.org/places/540628,Making sure you're not a bot!,
https://pleiades.stoa.org/places/540703,2026-08-15,200,ok,https://pleiades.stoa.org/places/540703,Making sure you're not a bot!,
https://pleiades.stoa.org/places/540726,2026-08-15,200,ok,https://pleiades.stoa.org/places/540726,Making sure you're not a bot!,
https://pleiades.stoa.org/places/540730,2026-08-15,200,ok,https://pleiades.stoa.org/places/540730,Making sure you're not a bot!,
https://pleiades.stoa.org/places/540905,2026-08-15,200,ok,https://pleiades.stoa.org/places/540905,Making sure you're not a bot!,
