external_id,entity_id,place_id,scheme,identifier,uri,match_type,source_id
ext-pleiades-colony-erythrae-ionia,colony-erythrae-ionia,,pleiades,550535,https://pleiades.stoa.org/places/550535,exact,src-pleiades-550535
ext-pleiades-colony-euesperides,colony-euesperides,,pleiades,373786,https://pleiades.stoa.org/places/373786,exact,src-pleiades-373786
ext-pleiades-colony-gela,colony-gela,,pleiades,462214,https://pleiades.stoa.org/places/462214,exact,src-pleiades-462214
ext-pleiades-colony-halicarnassus,colony-halicarnassus,,pleiades,599636,https://pleiades.stoa.org/places/599636,exact,src-pleiades-599636
ext-pleiades-colony-heraclea-pontica,colony-heraclea-pontica,,pleiades,844944,https://pleiades.stoa.org/places/844944,exact,src-pleiades-844944
ext-pleiades-colony-himera,colony-himera,,pleiades,462244,https://pleiades.stoa.org/places/462244,exact,src-pleiades-462244
ext-pleiades-colony-histria-pontica,colony-histria-pontica,,pleiades,216839,https://pleiades.stoa.org/places/216839,exact,src-pleiades-216839
ext-pleiades-colony-iasos,colony-iasos,,pleiades,599664,https://pleiades.stoa.org/places/599664,exact,src-pleiades-599664
ext-pleiades-colony-lampsacus,colony-lampsacus,,pleiades,501570,https://pleiades.stoa.org/places/501570,exact,src-pleiades-501570
ext-pleiades-colony-leontinoi,colony-leontinoi,,pleiades,462279,https://pleiades.stoa.org/places/462279,exact,src-pleiades-462279
ext-pleiades-colony-locri-epizephyrii,colony-locri-epizephyrii,,pleiades,452369,https://pleiades.stoa.org/places/452369,exact,src-pleiades-452369
ext-pleiades-colony-magnesia-maeander,colony-magnesia-maeander,,pleiades,599778,https://pleiades.stoa.org/places/599778,exact,src-pleiades-599778
ext-pleiades-colony-massalia,colony-massalia,,pleiades,148127,https://pleiades.stoa.org/places/148127,exact,src-pleiades-148127
ext-pleiades-colony-megara-hyblaea,colony-megara-hyblaea,,pleiades,462307,https://pleiades.stoa.org/places/462307,exact,src-pleiades-462307
ext-pleiades-colony-mesembria,colony-mesembria,,pleiades,216882,https://pleiades.stoa.org/places/216882,exact,src-pleiades-216882
ext-pleiades-colony-metapontum,colony-metapontum,,pleiades,442658,https://pleiades.stoa.org/places/442658,exact,src-pleiades-442658
ext-pleiades-colony-miletus,colony-miletus,,pleiades,599799,https://pleiades.stoa.org/places/599799,exact,src-pleiades-599799
