place_id,entity_id,latitude,longitude,geometry_wkt,geometry_geojson,geometry_role,location_certainty,location_precision,modern_country_el,modern_country_en,country_iso3,country_iso2,modern_locality,coordinate_source_text,spatial_note_el,spatial_note_en,source_id,review_state
place-colony-phanagoria,colony-phanagoria,45.276258,36.959668,POINT (36.959668 45.276258),"{""coordinates"":[36.959668,45.276258],""type"":""Point""}",site,high,exact,Ρωσία,Russia,RUS,RU,"Sennoy, Krasnodar Krai",Pleiades representative point,,,src-pleiades-854724,reviewed
place-colony-pharos-hvar,colony-pharos-hvar,43.184286,16.601041,POINT (16.601041 43.184286),"{""coordinates"":[16.601041,43.184286],""type"":""Point""}",site,high,exact,Κροατία,Croatia,HRV,HR,"Stari Grad, Hvar",Pleiades representative point,,,src-pleiades-197433,reviewed
place-colony-phaselis,colony-phaselis,36.523492,30.552167,POINT (30.552167 36.523492),"{""coordinates"":[30.552167,36.523492],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,"Tekirova, Antalya",Pleiades representative point,,,src-pleiades-639051,reviewed
place-colony-phasis-city,colony-phasis-city,42.135867,41.692323,POINT (41.692323 42.135867),"{""coordinates"":[41.692323,42.135867],""type"":""Point""}",site,medium,exact,Γεωργία,Georgia,GEO,GE,περιοχή Poti,Pleiades representative point,,,src-pleiades-857275,needs_review
place-colony-philippi,colony-philippi,41.012651,24.284637,POINT (24.284637 41.012651),"{""coordinates"":[24.284637,41.012651],""type"":""Point""}",site,high,exact,Ελλάδα,Greece,GRC,GR,Κρηνίδες Καβάλας,Pleiades representative point,,,src-pleiades-501482,reviewed
place-colony-phocaea,colony-phocaea,38.6703,26.75656,POINT (26.75656 38.6703),"{""coordinates"":[26.75656,38.6703],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,"Foça, İzmir",Pleiades representative point,,,src-pleiades-550823,reviewed
place-colony-poseidonia,colony-poseidonia,40.420848,15.005079,POINT (15.005079 40.420848),"{""coordinates"":[15.005079,40.420848],""type"":""Point""}",site,high,exact,Ιταλία,Italy,ITA,IT,Paestum,Pleiades representative point,,,src-pleiades-442733,reviewed
place-colony-priene,colony-priene,37.66078,27.296584,POINT (27.296584 37.66078),"{""coordinates"":[27.296584,37.66078],""type"":""Point""}",site,high,exact,Τουρκία,Turkey,TUR,TR,"Güllübahçe, Söke",Pleiades representative point,,,src-pleiades-599905,reviewed
place-colony-rhegion,colony-rhegion,38.109279,15.64393,POINT (15.64393 38.109279),"{""coordinates"":[15.64393,38.109279],""type"":""Point""}",site,high,exact,Ιταλία,Italy,ITA,IT,Reggio Calabria,Pleiades representative point,,,src-pleiades-452416,reviewed
place-colony-selinus,colony-selinus,37.588282,12.824893,POINT (12.824893 37.588282),"{""coordinates"":[12.824893,37.588282],""type"":""Point""}",site,high,exact,Ιταλία,Italy,ITA,IT,Marinella di Selinunte,Pleiades representative point,,,src-pleiades-462489,reviewed
