source_id,url,title,publisher,source_class,language,license,accessed_on,http_status,url_status,citation,notes
src-metmuseum-50fe20dc493f,https://www.metmuseum.org/toah/hd/gkru/hd_gkru.htm,The Metropolitan Museum of Art source record,The Metropolitan Museum of Art,museum,en,,2026-08-14,,unchecked,The Metropolitan Museum of Art. https://www.metmuseum.org/toah/hd/gkru/hd_gkru.htm (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-metmuseum-89019924e8c3,https://www.metmuseum.org/essays/the-rise-of-macedonia-and-the-conquests-of-alexander-the-great,The Metropolitan Museum of Art source record,The Metropolitan Museum of Art,museum,en,,2026-08-14,,unchecked,The Metropolitan Museum of Art. https://www.metmuseum.org/essays/the-rise-of-macedonia-and-the-conquests-of-alexander-the-great (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-metmuseum-9200258a95cb,https://www.metmuseum.org/essays/egypt-in-the-ptolemaic-period,The Metropolitan Museum of Art source record,The Metropolitan Museum of Art,museum,en,,2026-08-14,,unchecked,The Metropolitan Museum of Art. https://www.metmuseum.org/essays/egypt-in-the-ptolemaic-period (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-mthv-3f5f755ed462,https://www.mthv.gr/en/permanent-exhibition/mycenaean-period/,Museum of Thebes source record,Museum of Thebes,museum,en,,2026-08-14,,unchecked,Museum of Thebes. https://www.mthv.gr/en/permanent-exhibition/mycenaean-period/ (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-museoarcheologicoreggiocalabria-b6e43e041088,https://museoarcheologicoreggiocalabria.cultura.gov.it/collezioni/livello-b/,Museo Archeologico Nazionale di Reggio Calabria source record,Museo Archeologico Nazionale di Reggio Calabria,museum,it,,2026-08-14,,unchecked,Museo Archeologico Nazionale di Reggio Calabria. https://museoarcheologicoreggiocalabria.cultura.gov.it/collezioni/livello-b/ (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-odysseus-00e2d87ae4a8,https://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2562,Hellenic Ministry of Culture source record,Hellenic Ministry of Culture,national_archaeological_service,en,,2026-08-14,,unchecked,Hellenic Ministry of Culture. https://odysseus.culture.gr/h/3/eh355.jsp?obj_id=2562 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-odysseus-589898851f92,https://odysseus.culture.gr/h/3/eh351.jsp?obj_id=2501,Hellenic Ministry of Culture source record,Hellenic Ministry of Culture,national_archaeological_service,en,,2026-08-14,,unchecked,Hellenic Ministry of Culture. https://odysseus.culture.gr/h/3/eh351.jsp?obj_id=2501 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-odysseus-9e3ae0cba911,https://odysseus.culture.gr/h/2/eh2530.jsp?obj_id=716,Hellenic Ministry of Culture source record,Hellenic Ministry of Culture,national_archaeological_service,en,,2026-08-14,,unchecked,Hellenic Ministry of Culture. https://odysseus.culture.gr/h/2/eh2530.jsp?obj_id=716 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-penn-fb29e85fcab7,https://www.penn.museum/sites/expedition/olbia-pontica-and-the-olbian-muse/,Penn Museum source record,Penn Museum,museum,en,,2026-08-14,,unchecked,Penn Museum. https://www.penn.museum/sites/expedition/olbia-pontica-and-the-olbian-muse/ (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
src-pleiades-103565779,https://pleiades.stoa.org/places/103565779,Pleiades place 103565779,Pleiades,scholarly_gazetteer,en,CC BY 3.0,2026-08-14,,unchecked,Pleiades. https://pleiades.stoa.org/places/103565779 (accessed 2026-08-14).,Imported from the submitted research source; metadata is reconciled in the research layer.
