name_id,entity_id,name,language,script,name_type,is_preferred,start_year,end_year,source_id,review_state
name-city-knossos-grc-ancient,city-knossos,Κνωσός,grc,Grek,ancient,0,,,src-pleiades-589872,reviewed
name-city-kos-city-el-preferred,city-kos-city,Κως,el,Grek,preferred,1,,,src-pleiades-599728,reviewed
name-city-kos-city-en-preferred,city-kos-city,Kos,en,Latn,preferred,1,,,src-pleiades-599728,reviewed
name-city-kos-city-grc-ancient,city-kos-city,Κῶς,grc,Grek,ancient,0,,,src-pleiades-599728,reviewed
name-city-larissa-thessaly-el-preferred,city-larissa-thessaly,Λάρισα,el,Grek,preferred,1,,,src-pleiades-540905,reviewed
name-city-larissa-thessaly-en-preferred,city-larissa-thessaly,Larissa,en,Latn,preferred,1,,,src-pleiades-540905,reviewed
name-city-larissa-thessaly-grc-ancient,city-larissa-thessaly,Λάρισα,grc,Grek,ancient,0,,,src-pleiades-540905,reviewed
name-city-lindos-el-preferred,city-lindos,Λίνδος,el,Grek,preferred,1,,,src-pleiades-589913,reviewed
name-city-lindos-en-preferred,city-lindos,Lindos,en,Latn,preferred,1,,,src-pleiades-589913,reviewed
name-city-lindos-grc-ancient,city-lindos,Λίνδος,grc,Grek,ancient,0,,,src-pleiades-589913,reviewed
name-city-mantinea-el-preferred,city-mantinea,Μαντίνεια,el,Grek,preferred,1,,,src-pleiades-570459,reviewed
name-city-mantinea-en-preferred,city-mantinea,Mantinea,en,Latn,preferred,1,,,src-pleiades-570459,reviewed
name-city-mantinea-grc-ancient,city-mantinea,Μαντίνεια,grc,Grek,ancient,0,,,src-pleiades-570459,reviewed
name-city-megalopolis-el-preferred,city-megalopolis,Μεγαλόπολη,el,Grek,preferred,1,,,src-pleiades-570467,reviewed
name-city-megalopolis-en-preferred,city-megalopolis,Megalopolis,en,Latn,preferred,1,,,src-pleiades-570467,reviewed
name-city-megalopolis-grc-ancient,city-megalopolis,Μεγάλη Πόλις,grc,Grek,ancient,0,,,src-pleiades-570467,reviewed
name-city-megara-el-preferred,city-megara,Μέγαρα,el,Grek,preferred,1,,,src-pleiades-570468,reviewed
name-city-megara-en-preferred,city-megara,Megara,en,Latn,preferred,1,,,src-pleiades-570468,reviewed
name-city-megara-grc-ancient,city-megara,Μέγαρα,grc,Grek,ancient,0,,,src-pleiades-570468,reviewed
name-city-messene-el-preferred,city-messene,Μεσσήνη,el,Grek,preferred,1,,,src-pleiades-570479,reviewed
name-city-messene-en-preferred,city-messene,Messene,en,Latn,preferred,1,,,src-pleiades-570479,reviewed
name-city-messene-grc-ancient,city-messene,Μεσσήνη,grc,Grek,ancient,0,,,src-pleiades-570479,reviewed
name-city-mytilene-el-preferred,city-mytilene,Μυτιλήνη,el,Grek,preferred,1,,,src-pleiades-550763,reviewed
name-city-mytilene-en-preferred,city-mytilene,Mytilene,en,Latn,preferred,1,,,src-pleiades-550763,reviewed
name-city-mytilene-grc-ancient,city-mytilene,Μυτιλήνη,grc,Grek,ancient,0,,,src-pleiades-550763,reviewed
name-city-naxos-cyclades-el-preferred,city-naxos-cyclades,Νάξος,el,Grek,preferred,1,,,src-pleiades-599821,reviewed
name-city-naxos-cyclades-en-preferred,city-naxos-cyclades,Naxos,en,Latn,preferred,1,,,src-pleiades-599821,reviewed
name-city-naxos-cyclades-grc-ancient,city-naxos-cyclades,Νάξος,grc,Grek,ancient,0,,,src-pleiades-599821,reviewed
name-city-olynthus-el-preferred,city-olynthus,Όλυνθος,el,Grek,preferred,1,,,src-pleiades-491678,reviewed
name-city-olynthus-en-preferred,city-olynthus,Olynthus,en,Latn,preferred,1,,,src-pleiades-491678,reviewed
name-city-olynthus-grc-ancient,city-olynthus,Ὄλυνθος,grc,Grek,ancient,0,,,src-pleiades-491678,reviewed
name-city-patrae-el-preferred,city-patrae,Πάτρα,el,Grek,preferred,1,,,src-pleiades-570567,reviewed
name-city-patrae-en-preferred,city-patrae,Patrae,en,Latn,preferred,1,,,src-pleiades-570567,reviewed
name-city-patrae-grc-ancient,city-patrae,Πάτραι,grc,Grek,ancient,0,,,src-pleiades-570567,reviewed
name-city-pella-el-preferred,city-pella,Πέλλα,el,Grek,preferred,1,,,src-pleiades-491687,reviewed
name-city-pella-en-preferred,city-pella,Pella,en,Latn,preferred,1,,,src-pleiades-491687,reviewed
name-city-pella-grc-ancient,city-pella,Πέλλα,grc,Grek,ancient,0,,,src-pleiades-491687,reviewed
name-city-pergamum-el-preferred,city-pergamum,Πέργαμος,el,Grek,preferred,1,,,src-pleiades-550812,reviewed
name-city-pergamum-en-preferred,city-pergamum,Pergamum,en,Latn,preferred,1,,,src-pleiades-550812,reviewed
name-city-pergamum-grc-ancient,city-pergamum,Πέργαμον,grc,Grek,ancient,0,,,src-pleiades-550812,reviewed
name-city-pherae-thessaly-el-preferred,city-pherae-thessaly,Φερές,el,Grek,preferred,1,,,src-pleiades-541044,reviewed
name-city-pherae-thessaly-en-preferred,city-pherae-thessaly,Pherae,en,Latn,preferred,1,,,src-pleiades-541044,reviewed
name-city-pherae-thessaly-grc-ancient,city-pherae-thessaly,Φεραί,grc,Grek,ancient,0,,,src-pleiades-541044,reviewed
name-city-piraeus-el-preferred,city-piraeus,Πειραιάς,el,Grek,preferred,1,,,src-pleiades-580062,reviewed
name-city-piraeus-en-preferred,city-piraeus,Piraeus,en,Latn,preferred,1,,,src-pleiades-580062,reviewed
name-city-piraeus-grc-ancient,city-piraeus,Πειραιεύς,grc,Grek,ancient,0,,,src-pleiades-580062,reviewed
name-city-ptolemais-cyrenaica-el-preferred,city-ptolemais-cyrenaica,Πτολεμαΐδα Κυρηναϊκής,el,Grek,preferred,1,,,src-pleiades-373879,reviewed
name-city-ptolemais-cyrenaica-en-preferred,city-ptolemais-cyrenaica,Ptolemais of Cyrenaica,en,Latn,preferred,1,,,src-pleiades-373879,reviewed
name-city-ptolemais-cyrenaica-grc-ancient,city-ptolemais-cyrenaica,Πτολεμαΐς,grc,Grek,ancient,0,,,src-pleiades-373879,reviewed
name-city-pydna-el-preferred,city-pydna,Πύδνα,el,Grek,preferred,1,,,src-pleiades-491703,reviewed
name-city-pydna-en-preferred,city-pydna,Pydna,en,Latn,preferred,1,,,src-pleiades-491703,reviewed
name-city-pydna-grc-ancient,city-pydna,Πύδνα,grc,Grek,ancient,0,,,src-pleiades-491703,reviewed
name-city-rhodes-city-el-preferred,city-rhodes-city,Ρόδος,el,Grek,preferred,1,,,src-pleiades-590030,reviewed
name-city-rhodes-city-en-preferred,city-rhodes-city,Rhodes,en,Latn,preferred,1,,,src-pleiades-590030,reviewed
name-city-rhodes-city-grc-ancient,city-rhodes-city,Ῥόδος,grc,Grek,ancient,0,,,src-pleiades-590030,reviewed
name-city-samos-city-el-preferred,city-samos-city,Σάμος,el,Grek,preferred,1,,,src-pleiades-599925,reviewed
name-city-samos-city-en-preferred,city-samos-city,Samos,en,Latn,preferred,1,,,src-pleiades-599925,reviewed
name-city-samos-city-grc-ancient,city-samos-city,Σάμος,grc,Grek,ancient,0,,,src-pleiades-599925,reviewed
name-city-sicyon-el-preferred,city-sicyon,Σικυώνα,el,Grek,preferred,1,,,src-pleiades-570668,reviewed
name-city-sicyon-en-preferred,city-sicyon,Sicyon,en,Latn,preferred,1,,,src-pleiades-570668,reviewed
name-city-sicyon-grc-ancient,city-sicyon,Σικυών,grc,Grek,ancient,0,,,src-pleiades-570668,reviewed
name-city-smyrna-el-preferred,city-smyrna,Σμύρνη,el,Grek,preferred,1,,,src-pleiades-550893,reviewed
name-city-smyrna-en-preferred,city-smyrna,Smyrna,en,Latn,preferred,1,,,src-pleiades-550893,reviewed
name-city-smyrna-grc-ancient,city-smyrna,Σμύρνα,grc,Grek,ancient,0,,,src-pleiades-550893,reviewed
name-city-sparta-el-preferred,city-sparta,Σπάρτη,el,Grek,preferred,1,,,src-pleiades-570685,reviewed
name-city-sparta-en-preferred,city-sparta,Sparta,en,Latn,preferred,1,,,src-pleiades-570685,reviewed
name-city-sparta-grc-ancient,city-sparta,Σπάρτη,grc,Grek,ancient,0,,,src-pleiades-570685,reviewed
name-city-tegea-el-preferred,city-tegea,Τεγέα,el,Grek,preferred,1,,,src-pleiades-570707,reviewed
name-city-tegea-en-preferred,city-tegea,Tegea,en,Latn,preferred,1,,,src-pleiades-570707,reviewed
name-city-tegea-grc-ancient,city-tegea,Τεγέα,grc,Grek,ancient,0,,,src-pleiades-570707,reviewed
name-city-thebes-boeotia-el-preferred,city-thebes-boeotia,Θήβα,el,Grek,preferred,1,,,src-pleiades-541138,reviewed
name-city-thebes-boeotia-en-preferred,city-thebes-boeotia,Thebes,en,Latn,preferred,1,,,src-pleiades-541138,reviewed
name-city-thebes-boeotia-grc-ancient,city-thebes-boeotia,Θῆβαι,grc,Grek,ancient,0,,,src-pleiades-541138,reviewed
name-city-thera-city-el-preferred,city-thera-city,Θήρα,el,Grek,preferred,1,,,src-pleiades-599971,reviewed
name-city-thera-city-en-preferred,city-thera-city,Thera,en,Latn,preferred,1,,,src-pleiades-599971,reviewed
name-city-thera-city-grc-ancient,city-thera-city,Θήρα,grc,Grek,ancient,0,,,src-pleiades-599971,reviewed
name-city-thessalonica-el-preferred,city-thessalonica,Θεσσαλονίκη,el,Grek,preferred,1,,,src-pleiades-491741,reviewed
name-city-thessalonica-en-preferred,city-thessalonica,Thessalonica,en,Latn,preferred,1,,,src-pleiades-491741,reviewed
name-city-thessalonica-grc-ancient,city-thessalonica,Θεσσαλονίκη,grc,Grek,ancient,0,,,src-pleiades-491741,reviewed
name-colony-abydos-el-preferred,colony-abydos,Άβυδος,el,Grek,preferred,1,,,src-pleiades-501325,reviewed
name-colony-abydos-en-preferred,colony-abydos,Abydos,en,Latn,preferred,1,,,src-pleiades-501325,reviewed
name-colony-abydos-grc-ancient,colony-abydos,Ἄβυδος,grc,Grek,ancient,0,,,src-pleiades-501325,reviewed
name-colony-akragas-el-preferred,colony-akragas,Ακράγαντας,el,Grek,preferred,1,,,src-pleiades-462086,reviewed
name-colony-akragas-en-preferred,colony-akragas,Akragas,en,Latn,preferred,1,,,src-pleiades-462086,reviewed
name-colony-akragas-grc-ancient,colony-akragas,Ἀκράγας,grc,Grek,ancient,0,,,src-pleiades-462086,reviewed
name-colony-ambracia-el-preferred,colony-ambracia,Αμβρακία,el,Grek,preferred,1,,,src-pleiades-530794,reviewed
name-colony-ambracia-en-preferred,colony-ambracia,Ambracia,en,Latn,preferred,1,,,src-pleiades-530794,reviewed
name-colony-ambracia-grc-ancient,colony-ambracia,Ἀμβρακία,grc,Grek,ancient,0,,,src-pleiades-530794,reviewed
name-colony-amisus-el-preferred,colony-amisus,Αμισός,el,Grek,preferred,1,,,src-pleiades-857024,reviewed
name-colony-amisus-en-preferred,colony-amisus,Amisus,en,Latn,preferred,1,,,src-pleiades-857024,reviewed
name-colony-amisus-grc-ancient,colony-amisus,Ἀμισός,grc,Grek,ancient,0,,,src-pleiades-857024,reviewed
name-colony-amphipolis-el-preferred,colony-amphipolis,Αμφίπολη,el,Grek,preferred,1,,,src-pleiades-501347,reviewed
name-colony-amphipolis-en-preferred,colony-amphipolis,Amphipolis,en,Latn,preferred,1,,,src-pleiades-501347,reviewed
name-colony-amphipolis-grc-ancient,colony-amphipolis,Ἀμφίπολις,grc,Grek,ancient,0,,,src-pleiades-501347,reviewed
name-colony-ancona-el-preferred,colony-ancona,Αγκών,el,Grek,preferred,1,,,src-pleiades-413014,reviewed
name-colony-ancona-en-preferred,colony-ancona,Ancon,en,Latn,preferred,1,,,src-pleiades-413014,reviewed
name-colony-ancona-grc-ancient,colony-ancona,Ἀγκών,grc,Grek,ancient,0,,,src-pleiades-413014,reviewed
name-colony-apollonia-cyrenaica-el-preferred,colony-apollonia-cyrenaica,Απολλωνία Κυρηναϊκής,el,Grek,preferred,1,,,src-pleiades-373732,reviewed
name-colony-apollonia-cyrenaica-en-preferred,colony-apollonia-cyrenaica,Apollonia of Cyrenaica,en,Latn,preferred,1,,,src-pleiades-373732,reviewed
name-colony-apollonia-cyrenaica-grc-ancient,colony-apollonia-cyrenaica,Ἀπολλωνία,grc,Grek,ancient,0,,,src-pleiades-373732,reviewed
name-colony-apollonia-illyria-el-preferred,colony-apollonia-illyria,Απολλωνία Ιλλυρίας,el,Grek,preferred,1,,,src-pleiades-481728,reviewed
name-colony-apollonia-illyria-en-preferred,colony-apollonia-illyria,Apollonia,en,Latn,preferred,1,,,src-pleiades-481728,reviewed
name-colony-apollonia-illyria-grc-ancient,colony-apollonia-illyria,Ἀπολλωνία,grc,Grek,ancient,0,,,src-pleiades-481728,reviewed
name-colony-apollonia-pontica-el-preferred,colony-apollonia-pontica,Απολλωνία Ποντική,el,Grek,preferred,1,,,src-pleiades-216706,reviewed
name-colony-apollonia-pontica-en-preferred,colony-apollonia-pontica,Apollonia Pontica,en,Latn,preferred,1,,,src-pleiades-216706,reviewed
name-colony-apollonia-pontica-grc-ancient,colony-apollonia-pontica,Ἀπολλωνία Ποντική,grc,Grek,ancient,0,,,src-pleiades-216706,reviewed
name-colony-assos-el-preferred,colony-assos,Άσσος,el,Grek,preferred,1,,,src-pleiades-550463,reviewed
name-colony-assos-en-preferred,colony-assos,Assos,en,Latn,preferred,1,,,src-pleiades-550463,reviewed
name-colony-assos-grc-ancient,colony-assos,Ἄσσος,grc,Grek,ancient,0,,,src-pleiades-550463,reviewed
name-colony-barca-cyrenaica-el-preferred,colony-barca-cyrenaica,Βάρκη,el,Grek,preferred,1,,,src-pleiades-373750,reviewed
name-colony-barca-cyrenaica-en-preferred,colony-barca-cyrenaica,Barca,en,Latn,preferred,1,,,src-pleiades-373750,reviewed
name-colony-barca-cyrenaica-grc-ancient,colony-barca-cyrenaica,Βάρκη,grc,Grek,ancient,0,,,src-pleiades-373750,reviewed
name-colony-byzantium-el-preferred,colony-byzantium,Βυζάντιο,el,Grek,preferred,1,,,src-pleiades-520985,reviewed
name-colony-byzantium-en-preferred,colony-byzantium,Byzantium,en,Latn,preferred,1,,,src-pleiades-520985,reviewed
name-colony-byzantium-grc-ancient,colony-byzantium,Βυζάντιον,grc,Grek,ancient,0,,,src-pleiades-520985,reviewed
name-colony-callatis-el-preferred,colony-callatis,Κάλλατις,el,Grek,preferred,1,,,src-pleiades-216744,reviewed
name-colony-callatis-en-preferred,colony-callatis,Callatis,en,Latn,preferred,1,,,src-pleiades-216744,reviewed
name-colony-callatis-grc-ancient,colony-callatis,Κάλλατις,grc,Grek,ancient,0,,,src-pleiades-216744,reviewed
name-colony-catana-el-preferred,colony-catana,Κατάνη,el,Grek,preferred,1,,,src-pleiades-462270,reviewed
name-colony-catana-en-preferred,colony-catana,Catana,en,Latn,preferred,1,,,src-pleiades-462270,reviewed
name-colony-catana-grc-ancient,colony-catana,Κατάνη,grc,Grek,ancient,0,,,src-pleiades-462270,reviewed
name-colony-chalcedon-el-preferred,colony-chalcedon,Χαλκηδόνα,el,Grek,preferred,1,,,src-pleiades-520988,reviewed
name-colony-chalcedon-en-preferred,colony-chalcedon,Chalcedon,en,Latn,preferred,1,,,src-pleiades-520988,reviewed
name-colony-chalcedon-grc-ancient,colony-chalcedon,Χαλκηδών,grc,Grek,ancient,0,,,src-pleiades-520988,reviewed
name-colony-chersonesus-taurica-el-preferred,colony-chersonesus-taurica,Χερσόνησος Ταυρική,el,Grek,preferred,1,,,src-pleiades-226564,reviewed
name-colony-chersonesus-taurica-en-preferred,colony-chersonesus-taurica,Chersonesus Taurica,en,Latn,preferred,1,,,src-pleiades-226564,reviewed
name-colony-chersonesus-taurica-grc-ancient,colony-chersonesus-taurica,Χερσόνησος,grc,Grek,ancient,0,,,src-pleiades-226564,reviewed
name-colony-clazomenae-el-preferred,colony-clazomenae,Κλαζομενές,el,Grek,preferred,1,,,src-pleiades-550651,reviewed
name-colony-clazomenae-en-preferred,colony-clazomenae,Clazomenae,en,Latn,preferred,1,,,src-pleiades-550651,reviewed
name-colony-clazomenae-grc-ancient,colony-clazomenae,Κλαζομεναί,grc,Grek,ancient,0,,,src-pleiades-550651,reviewed
name-colony-cnidus-el-preferred,colony-cnidus,Κνίδος,el,Grek,preferred,1,,,src-pleiades-599575,reviewed
name-colony-cnidus-en-preferred,colony-cnidus,Cnidus,en,Latn,preferred,1,,,src-pleiades-599575,reviewed
name-colony-cnidus-grc-ancient,colony-cnidus,Κνίδος,grc,Grek,ancient,0,,,src-pleiades-599575,reviewed
name-colony-colophon-el-preferred,colony-colophon,Κολοφώνα,el,Grek,preferred,1,,,src-pleiades-599577,reviewed
name-colony-colophon-en-preferred,colony-colophon,Colophon,en,Latn,preferred,1,,,src-pleiades-599577,reviewed
name-colony-colophon-grc-ancient,colony-colophon,Κολοφών,grc,Grek,ancient,0,,,src-pleiades-599577,reviewed
name-colony-corcyra-el-preferred,colony-corcyra,Κέρκυρα,el,Grek,preferred,1,,,src-pleiades-530834,reviewed
name-colony-corcyra-en-preferred,colony-corcyra,Corcyra,en,Latn,preferred,1,,,src-pleiades-530834,reviewed
name-colony-corcyra-grc-ancient,colony-corcyra,Κόρκυρα,grc,Grek,ancient,0,,,src-pleiades-530834,reviewed
name-colony-croton-el-preferred,colony-croton,Κρότων,el,Grek,preferred,1,,,src-pleiades-452317,reviewed
name-colony-croton-en-preferred,colony-croton,Croton,en,Latn,preferred,1,,,src-pleiades-452317,reviewed
name-colony-croton-grc-ancient,colony-croton,Κρότων,grc,Grek,ancient,0,,,src-pleiades-452317,reviewed
name-colony-cumae-campania-el-preferred,colony-cumae-campania,Κύμη Καμπανίας,el,Grek,preferred,1,,,src-pleiades-432808,reviewed
name-colony-cumae-campania-en-preferred,colony-cumae-campania,Cumae,en,Latn,preferred,1,,,src-pleiades-432808,reviewed
name-colony-cumae-campania-grc-ancient,colony-cumae-campania,Κύμη,grc,Grek,ancient,0,,,src-pleiades-432808,reviewed
name-colony-cyme-aeolis-el-preferred,colony-cyme-aeolis,Κύμη Αιολίδας,el,Grek,preferred,1,,,src-pleiades-550506,reviewed
name-colony-cyme-aeolis-en-preferred,colony-cyme-aeolis,Cyme,en,Latn,preferred,1,,,src-pleiades-550506,reviewed
name-colony-cyme-aeolis-grc-ancient,colony-cyme-aeolis,Κύμη,grc,Grek,ancient,0,,,src-pleiades-550506,reviewed
name-colony-cyrene-el-preferred,colony-cyrene,Κυρήνη,el,Grek,preferred,1,,,src-pleiades-373778,reviewed
name-colony-cyrene-en-preferred,colony-cyrene,Cyrene,en,Latn,preferred,1,,,src-pleiades-373778,reviewed
name-colony-cyrene-grc-ancient,colony-cyrene,Κυρήνη,grc,Grek,ancient,0,,,src-pleiades-373778,reviewed
name-colony-cyzicus-el-preferred,colony-cyzicus,Κύζικος,el,Grek,preferred,1,,,src-pleiades-511218,reviewed
name-colony-cyzicus-en-preferred,colony-cyzicus,Cyzicus,en,Latn,preferred,1,,,src-pleiades-511218,reviewed
name-colony-cyzicus-grc-ancient,colony-cyzicus,Κύζικος,grc,Grek,ancient,0,,,src-pleiades-511218,reviewed
name-colony-dioscurias-el-preferred,colony-dioscurias,Διοσκουριάς,el,Grek,preferred,1,,,src-pleiades-857107,reviewed
name-colony-dioscurias-en-preferred,colony-dioscurias,Dioscurias,en,Latn,preferred,1,,,src-pleiades-857107,reviewed
name-colony-dioscurias-grc-ancient,colony-dioscurias,Διοσκουριάς,grc,Grek,ancient,0,,,src-pleiades-857107,reviewed
