code,label_el,label_en,definition_el,definition_en,sort_order
city,Πόλεις,Cities,Επιμελητική συλλογή αρχαίων πόλεων,Editorial collection of ancient cities,10
colony,Αποικίες,Colonies,Επιμελητική συλλογή αποικιακών ιδρύσεων και αποικιών,Editorial collection of colonial foundations and colonies,20
sanctuary,Ιερά,Sanctuaries,Επιμελητική συλλογή ιερών,Editorial collection of sanctuaries,30
kingdom,Βασίλεια και πολιτείες,Kingdoms and polities,Επιμελητική συλλογή πολιτικών οντοτήτων,Editorial collection of political entities,40
